mode,da,word,translation
s,,Vokabelkärtchen schreiben,Szókártya írás
s,,Nachrichten hören,Hírek hallgatása
s,,Wörter übersetzen,Szavak fordítása
s,,Lieder mitsingen,Dalok éneklése
s,,Sätze aufschreiben,Mondatok leírása
s,,Fehler korrigieren,Hibák javítása
s,,Wörter wiederholen,Szavak ismétlése
s,,Zeitschriften lesen,Magazinok olvasása
v,,zeichnen,rajzolni
s,,Sätze nachsprechen,Mondatok ismétlése
v,,lösen,megold
v,,bewegen,mozog
