translation,mode,da,word
kívül,,adv,außerhalb
kifejezés,r,n,Ausdruck
hasonló valamihez,,adj,ähnlich wie
egyedülálló,,adj,einzigartigen
addig is,,adv,mittlerweile
egymást,,adv,miteinander
beszélni egymással,,s,miteinander reden
teremt,,v,schaffen
képes rá,,s,sie das schafft
sokoldalú,,adj,alleskönnerin
nyelvtudás,e,n,Sprachkenntnisse
képzi magát,,v,weiterbilden sich
