mode,da,word,translation
v,,sammeln,gyűjteni
n,s,Ergebnis,eredmény
n,s,Hörnchen,kifli
n,e,Ernährung,táplálás
n,r,Herkunft,eredet
v,,loben,dicsér
n,e,Fertiggericht,készétel
s,,achten auf,figyel valamire
a,,reif,érett
v,,verwenden,használni
a,,vervollständingen,teljes
n,e,Pampelmuse,grapefruit
n,r,Pfirsich,barack
n,e,Nektarine,nektarin
n,e,Apfelsine,narancs
n,s,Getreide,gabona
v,,schälen,hámoz
n,r,Reisebericht,úti beszámoló
